"CODIGO_ENTIDAD","NOMBRE","TIPO_GESTION","ESTADO_LICENCIAMIENTO","PERIODO_LICENCIAMIENTO","DEPARTAMENTO_LOCAL","PROVINCIA_LOCAL","DISTRITO_LOCAL","LATITUD_UBICACION","LONGITUD_UBICACION"
146,"UNIVERSIDAD PRIVADA SISE","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","ATE",-12.0165774,-76.8901713
108,"UNIVERSIDAD DE CIENCIAS Y ARTES DE AMERICA LATINA","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","LA MOLINA",-12.0857224,-76.9086688
10,"UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU","PUBLICO","LICENCIA OTORGADA",6,"JUNIN","HUANCAYO","EL TAMBO",-12.0325112515236,-75.235883607132
97,"ASOCIACION CIVIL UNIVERSIDAD DE CIENCIAS Y HUMANIDADES","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","LOS OLIVOS",-11.9615097,-77.0655921
89,"UNIVERSIDAD NACIONAL JOSE MARIA ARGUEDAS","PUBLICO","LICENCIA OTORGADA",6,"APURIMAC","ANDAHUAYLAS","SAN JERONIMO",-13.6571898,-73.387931
142,"UNIVERSIDAD PRIVADA LIDER PERUANA","PRIVADO","LICENCIA DENEGADA",0,"CUSCO","LA CONVENCION","SANTA ANA",-12.8604607,-72.6921444
135,"UNIVERSIDAD PRIVADA AUTONOMA DEL SUR","PRIVADO","LICENCIA DENEGADA",0,"AREQUIPA","AREQUIPA","AREQUIPA",-16.4083213,-71.5281451
138,"UNIVERSIDAD NACIONAL AUTONOMA DE TAYACAJA DANIEL HERNANDEZ MORILLO","PUBLICO","LICENCIA OTORGADA",6,"HUANCAVELICA","TAYACAJA","DANIEL HERNANDEZ",-12.360819242185,-74.8379755690674
125,"UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA","PUBLICO","LICENCIA OTORGADA",6,"CUSCO","LA CONVENCION","SANTA ANA",-12.8568720025993,-72.6917236876968
35,"UNIVERSIDAD NACIONAL DE UCAYALI","PUBLICO","LICENCIA OTORGADA",6,"UCAYALI","CORONEL PORTILLO","CALLERIA",-8.3948987,-74.5776093
80,"UNIVERSIDAD ANTONIO RUIZ DE MONTOYA","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","PUEBLO LIBRE",-12.0701568916462,-77.0590327583359
3,"UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO","PUBLICO","LICENCIA OTORGADA",8,"CUSCO","CUSCO","CUSCO",-13.52193,-71.9583208
129,"UNIVERSIDAD NACIONAL TECNOLOGICA DE SAN JUAN DE LURIGANCHO","PUBLICO","CON INFORME DE OBSERVACIONES (IO) NOTIFICADO",0,"LIMA","LIMA","SAN JUAN DE LURIGANCHO",-11.9835577,-77.0095209
81,"UNIVERSIDAD PERUANA DE CIENCIAS E INFORMATICA","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","JESUS MARIA",-12.0721316,-77.0420936
21,"UNIVERSIDAD NACIONAL FEDERICO VILLARREAL","PUBLICO","LICENCIA OTORGADA",6,"LIMA","LIMA","LIMA",-12.0475424,-77.0405694
23,"UNIVERSIDAD NACIONAL HERMILIO VALDIZAN DE HUANUCO","PUBLICO","LICENCIA OTORGADA",6,"HUANUCO","HUANUCO","PILLCO MARCA",-9.94963815588392,-76.2501182122685
132,"UNIVERSIDAD DE INGENIERIA Y TECNOLOGIA","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","BARRANCO",-12.1351091104402,-77.0219532987419
143,"UNIVERSIDAD PRIVADA PERUANO ALEMANA","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","CHORRILLOS",-12.1661981575599,-77.0236681859957
41,"UNIVERSIDAD NACIONAL DE TUMBES","PUBLICO","LICENCIA OTORGADA",6,"TUMBES","TUMBES","TUMBES",-3.585267,-80.443305
31,"UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO","PUBLICO","CON INFORME DE OBSERVACIONES (IO) NOTIFICADO",0,"LAMBAYEQUE","LAMBAYEQUE","LAMBAYEQUE",-6.7070694143,-79.906696625
24,"UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACION CIVIL","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","LINCE",-12.0828451,-77.0345819
2,"UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA","PUBLICO","LICENCIA OTORGADA",6,"AYACUCHO","HUAMANGA","AYACUCHO",-13.1612654,-74.2257339
78,"UNIVERSIDAD PERUANA DE LAS AMERICAS","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","LIMA",-12.0630477,-77.0380365
53,"UNIVERSIDAD CATOLICA LOS ANGELES DE CHIMBOTE","PRIVADO","CON INFORME DE OBSERVACIONES (IO) NOTIFICADO",0,"ANCASH","SANTA","CHIMBOTE",-9.0738478814,-78.593556152
7,"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","PUBLICO","LICENCIA OTORGADA",8,"LIMA","LIMA","LA MOLINA",-12.0784288171739,-76.9465945643444
33,"UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO","PUBLICO","LICENCIA OTORGADA",6,"ANCASH","HUARAZ","INDEPENDENCIA",-9.5176405656,-77.524566681
